iter	Passed	Remaining
439	1276	1624
440	1278	1620
441	1280	1617
442	1283	1613
443	1285	1610
444	1288	1606
445	1290	1603
446	1292	1599
447	1295	1595
448	1297	1592
449	1300	1589
450	1302	1585
451	1305	1582
452	1307	1578
453	1310	1575
454	1312	1572
455	1314	1568
456	1317	1565
457	1319	1561
458	1322	1558
459	1324	1554
460	1326	1551
461	1329	1548
462	1331	1544
463	1334	1541
464	1336	1537
465	1338	1534
466	1341	1530
467	1343	1527
468	1346	1524
469	1348	1520
470	1351	1518
471	1354	1514
472	1356	1511
473	1358	1508
474	1361	1505
475	1364	1502
476	1367	1498
477	1369	1495
478	1372	1492
479	1374	1489
480	1377	1485
481	1379	1482
482	1381	1479
483	1384	1475
484	1386	1472
485	1389	1469
486	1392	1466
487	1394	1463
488	1397	1460
489	1399	1457
490	1402	1453
491	1404	1450
492	1407	1447
493	1409	1444
494	1412	1440
495	1414	1437
496	1417	1434
497	1419	1431
498	1422	1427
499	1424	1424
500	1426	1421
501	1429	1418
502	1432	1414
503	1434	1412
504	1437	1408
505	1439	1405
506	1442	1402
507	1444	1399
508	1447	1396
509	1450	1393
510	1452	1390
511	1455	1386
512	1457	1383
513	1460	1380
514	1462	1377
515	1465	1374
516	1467	1371
517	1470	1367
518	1472	1364
519	1474	1361
520	1477	1358
521	1479	1354
522	1482	1351
523	1484	1348
524	1487	1345
525	1489	1342
526	1492	1339
527	1494	1336
528	1496	1332
529	1499	1329
530	1502	1326
531	1504	1323
532	1507	1320
533	1509	1317
534	1512	1314
535	1514	1311
536	1517	1308
537	1519	1305
538	1522	1301
539	1524	1298
540	1527	1295
541	1529	1292
542	1531	1288
543	1533	1285
544	1536	1282
545	1538	1279
546	1541	1276
547	1543	1273
548	1545	1269
549	1548	1266
550	1550	1263
551	1553	1260
552	1555	1257
553	1557	1254
554	1560	1251
555	1563	1248
556	1565	1244
557	1568	1242
558	1571	1239
559	1574	1236
560	1576	1233
561	1578	1230
562	1582	1227
563	1584	1225
564	1587	1221
565	1589	1218
566	1592	1216
567	1595	1213
568	1597	1210
569	1600	1207
570	1602	1203
571	1604	1200
572	1607	1197
573	1609	1194
574	1612	1191
575	1615	1188
576	1617	1185
577	1620	1182
578	1622	1179
579	1625	1176
580	1627	1173
581	1630	1170
582	1632	1167
583	1635	1164
584	1637	1161
585	1639	1158
586	1642	1155
587	1644	1152
588	1646	1149
589	1649	1146
590	1651	1143
591	1654	1140
592	1657	1137
593	1659	1134
594	1661	1131
595	1664	1128
596	1666	1125
597	1669	1122
598	1671	1119
599	1673	1115
600	1676	1112
601	1678	1109
602	1681	1106
603	1683	1103
604	1686	1100
605	1688	1097
606	1691	1094
607	1693	1091
608	1695	1088
609	1698	1085
610	1700	1082
611	1703	1079
612	1705	1076
613	1707	1073
614	1710	1070
615	1712	1067
616	1715	1064
617	1717	1061
618	1720	1058
619	1722	1055
620	1725	1052
621	1727	1049
622	1730	1046
623	1732	1044
624	1735	1041
625	1737	1038
626	1739	1035
627	1742	1032
628	1744	1029
629	1747	1026
630	1749	1023
631	1751	1020
632	1754	1017
633	1756	1014
634	1759	1011
635	1761	1008
636	1764	1005
637	1766	1002
638	1769	999
639	1772	996
640	1775	994
641	1777	991
642	1780	988
643	1782	985
644	1787	983
645	1790	981
646	1793	978
647	1795	975
648	1798	972
649	1800	969
650	1803	966
651	1805	963
652	1808	960
653	1810	957
654	1813	955
655	1815	952
656	1818	949
657	1820	946
658	1823	943
659	1825	940
660	1827	937
661	1830	934
662	1832	931
663	1835	928
664	1837	925
665	1839	922
666	1842	919
667	1844	916
668	1847	913
669	1849	911
670	1852	908
671	1854	905
672	1856	902
673	1859	899
674	1861	896
675	1864	893
676	1866	890
677	1868	887
678	1871	884
679	1873	881
680	1876	878
681	1878	876
682	1881	873
683	1883	870
684	1885	867
685	1888	864
686	1890	861
687	1892	858
688	1895	855
689	1897	852
690	1900	849
691	1902	846
692	1905	844
693	1907	841
694	1910	838
695	1912	835
696	1914	832
697	1917	829
698	1919	826
699	1922	823
700	1924	820
701	1926	817
702	1929	815
703	1931	812
704	1934	809
705	1936	806
706	1939	803
707	1941	800
708	1943	797
709	1946	794
710	1948	792
711	1951	789
712	1953	786
713	1955	783
714	1958	780
715	1960	777
716	1963	774
717	1965	772
718	1967	769
719	1970	766
720	1972	763
721	1975	760
722	1978	758
723	1981	755
724	1983	752
725	1986	749
726	1988	746
727	1991	743
728	1993	741
729	1996	738
730	1998	735
731	2001	732
732	2003	729
733	2005	726
734	2008	724
735	2010	721
736	2013	718
737	2016	715
738	2018	712
739	2020	710
740	2023	707
741	2025	704
742	2027	701
743	2030	698
744	2032	695
745	2035	692
746	2037	690
747	2039	687
748	2042	684
749	2044	681
750	2046	678
751	2048	675
752	2051	672
753	2053	669
754	2055	667
755	2058	664
756	2076	666
757	2078	663
758	2081	660
759	2083	658
760	2086	655
761	2088	652
762	2090	649
763	2093	646
764	2095	643
765	2098	640
766	2100	638
767	2102	635
768	2105	632
769	2107	629
770	2109	626
771	2112	623
772	2114	621
773	2117	618
774	2119	615
775	2121	612
776	2124	609
777	2126	606
778	2128	603
779	2130	601
780	2133	598
781	2135	595
782	2137	592
783	2140	589
784	2142	586
785	2144	583
786	2147	581
787	2149	578
